"UF","Cidade","Bairro","Link_Cidade","Link_Bairro"
"MG","Belo Horizonte","Ermelinda","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/ermelinda-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Esplanada","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/esplanada-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Estoril","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/estoril-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Etelvina Carneiro","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/etelvina-carneiro-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Europa","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/europa-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Eymard","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/eymard-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Fernão Dias","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/fernao-dias-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Floramar","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/floramar-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Floresta","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/floresta-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Frei Leopoldo","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/frei-leopoldo-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Funcionários","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/funcionarios-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Gameleira","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/gameleira-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Garças","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/garcas-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Glória","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/gloria-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Goiânia","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/goiania-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Graça","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/graca-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Grajaú","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/grajau-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Guarani","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/guarani-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Gutierrez","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/gutierrez-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Havaí","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/havai-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Heliópolis","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/heliopolis-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Horto Florestal","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/horto-florestal-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Inconfidência","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/inconfidencia-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Indaiá","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/indaia-belo-horizonte-mg-brasil"
